cur_glucose_levels,glucose_levels_lag_1,glucose_levels_lag_2,glucose_levels_lag_3,glucose_levels_lag_4,glucose_levels_lag_5,glucose_mean_levels_lag_1_2,glucose_mean_levels_lag_1_3,glucose_mean_levels_lag_1_4,rolling_mean_2,rolling_mean_3,rolling_mean_5,rolling_mean_10,rolling_std_1,rolling_std_2,rolling_std_3,rolling_std_5,rolling_std_10,rolling_max_2,rolling_min_2,rolling_max_3,rolling_min_3,rolling_max_5,rolling_min_5,rolling_max_10,rolling_min_10,diff_1,diff_4,minute_of_day,hour_of_day,hour_sin,hour_cos,day_period_afternoon,day_period_evening,day_period_morning,day_period_night,day_of_week_0
149.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,1.0,False,False,False,True,True
149.02000000005214,149.02,,,,,149.02,149.02,149.02,149.02000000002607,,,,,3.6858234486093357e-11,,,,149.02000000005214,149.02,,,,,,,5.212541509536095e-11,,5,0,0.0,1.0,False,False,False,True,True
149.02000000461345,149.02000000005214,149.02,,,,149.02000000002607,149.02000000005214,149.02000000005214,149.02000000233278,149.0200000015552,,,,3.2253467323109048e-09,2.6486560194381465e-09,,,149.02000000461345,149.02000000005214,149.02000000461345,149.02,,,,,4.561314881357248e-09,,10,0,0.0,1.0,False,False,False,True,True
149.02000005301016,149.02000000461345,149.02000000005214,149.02,,,149.02000000233278,149.02000000230674,149.02000000461345,149.0200000288118,149.02000001922525,,,,3.4221657681921675e-08,2.9347351057741757e-08,,,149.02000005301016,149.02000000461345,149.02000005301016,149.02000000005214,,,,,4.839671419176739e-08,,15,0,0.0,1.0,False,False,False,True,True
149.02000027447733,149.02000005301016,149.02000000461345,149.02000000005214,149.02,,149.0200000288118,149.02000002653114,149.0200000265051,149.02000016374376,149.0200001107003,149.0200000664306,,,1.5660092415997607e-07,1.4388447406058866e-07,1.1843145045931137e-07,,149.02000027447733,149.02000005301016,149.02000027447733,149.02000000461345,149.02000027447733,149.02,,,2.214671610545338e-07,2.744773155427538e-07,20,0,0.0,1.0,False,False,False,True,True
149.02000092787665,149.02000027447733,149.02000005301016,149.02000000461345,149.02000000005214,149.02,149.02000016374376,149.0200001395454,149.02000013726473,149.020000601177,149.0200004184547,149.02000025200596,,,4.620230647047222e-07,4.5485706839741557e-07,3.942046602314428e-07,,149.02000092787665,149.02000027447733,149.02000092787665,149.02000005301016,149.02000092787665,149.02000000005214,,,6.533993257562543e-07,9.278245158839127e-07,25,0,0.0,1.0,False,False,False,True,True
149.02000241233705,149.02000092787665,149.02000027447733,149.02000005301016,149.02000000461345,149.02000000005214,149.020000601177,149.0200004904434,149.02000046624505,149.02000167010686,149.020001204897,149.02000073446294,,,1.0496719720755363e-06,1.095520983040864e-06,1.0076352602641401e-06,,149.02000241233705,149.02000092787665,149.02000241233705,149.02000027447733,149.02000241233705,149.02000000461345,,,1.4844603981600812e-06,2.4077235991626367e-06,30,0,0.0,1.0,False,False,False,True,True
149.02000525553908,149.02000241233705,149.02000092787665,149.02000027447733,149.02000005301016,149.02000000461345,149.02000167010686,149.0200013434072,149.02000123267362,149.02000383393806,149.02000286525094,149.02000178464806,,,2.010447390336915e-06,2.1990938231625384e-06,2.1479246064188505e-06,,149.02000525553908,149.02000241233705,149.02000525553908,149.02000092787665,149.02000525553908,149.02000005301016,,,2.843202025815117e-06,5.202528910785986e-06,35,0,0.0,1.0,False,False,False,True,True
149.0200100888943,149.02000525553908,149.02000241233705,149.02000092787665,149.02000027447733,149.02000005301016,149.02000383393806,149.02000309170785,149.0200027650082,149.0200076722167,149.0200059189235,149.02000379182488,,,3.417698227044226e-06,3.881036168625916e-06,4.0085054081397435e-06,,149.0200100888943,149.02000525553908,149.0200100888943,149.02000241233705,149.0200100888943,149.02000027447733,,,4.833355234268311e-06,9.814416983999763e-06,40,0,0.0,1.0,False,False,False,True,True
149.0200176169034,149.0200100888943,149.02000525553908,149.02000241233705,149.02000092787665,149.02000027447733,149.0200076722167,149.02000625061567,149.02000550838548,149.02001385289884,149.02001098711227,149.0200072603101,149.02000366337035,,5.323106222702122e-06,6.229440442758991e-06,6.761685749000878e-06,5.890835032527258e-06,149.0200176169034,149.0200100888943,149.0200176169034,149.02000525553908,149.0200176169034,149.02000092787665,149.0200176169034,149.02,7.528009092538923e-06,1.6689026750782432e-05,45,0,0.0,1.0,False,False,False,True,True
149.02002858555835,149.0200176169034,149.0200100888943,149.02000525553908,149.02000241233705,149.02000092787665,149.02001385289884,149.02001143622124,149.02001001462023,149.0200231012309,149.02001876378534,149.02001279184643,149.02000652192618,,7.756010222179126e-06,9.301513217241635e-06,1.0542279230286528e-05,9.651132315738193e-06,149.02002858555835,149.0200176169034,149.02002858555835,149.0200100888943,149.02002858555835,149.02000241233705,149.02002858555835,149.02000000005214,1.0968654947873802e-05,2.6173221300496152e-05,50,0,0.0,1.0,False,False,False,True,True
